Title,endereco,fone,whatsapp,instagram,site
"100 Limits Moto Peças","Rua Prefeito João Costa, 1081 - Unaí - MG",,,,
"A Estudante Presentes Papelaria","Avenida Governador Valadares, 1044 - Unaí - MG",,,,
"A Ideal Tecidos","Avenida Governador Valadares, 1041 - Centro - Unaí - MG",,,,
"A Jovem Lar","Avenida Governador Valadares, 458 - Centro - Unaí - MG",,,,
"A N Peças em Geral","Rua Professor Olímpio Gonzaga, 1 - Unaí - MG",,,,
"AABB - Associação Atlética Banco do Brasil","Rua Jovino Rodrigues Santana, S/N - Divinéia - Unaí - MG",,,,
"Abrigo Frei Anselmo - Lar dos Velhinhos","Rua Frei Anselmo, 687 - Unaí - MG",,,,
"Academia Cia do Corpo","Rua Celina Lisboa Frederico, 26 B - Centro - Unaí - MG","(38) 3676-6765",,,
"Espaço Pilates - Academia e Natação","Rua Luiz Alves, 609 - Unaí - MG","(38) 99992-3065","(38) 99992-3065",https://www.instagram.com/espacopilatesunai,
"Academia Fitness Alvim","Rua Antônio Brochado, 179 - Unaí - MG","(38) 99949-0406","(38) 99949-0406",https://www.instagram.com/fitness_alvim_academia,
"Minas Shop Hospitalar","Rua Nossa Senhora do Carmo, 239 - Centro - Unaí - MG",,,,
"Academia Sport Forma","Av. Vereador João Narciso, 377 - Unaí - MG","(38) 3676-6701","(38) 99961-8761",https://www.instagram.com/sport_forma/,https://instagram.com/sportforma
"Super Latas",,,,,"incluindo o Mar do Norte"
"Vanessa Ribeiro - Personal","Avenida Vereador João Narciso, 355 - Cachoeira - Unaí - MG","(38) 99942-6892","(38) 99942-6892",https://www.instagram.com/vanessapersonal,
"Acitrânsito Seguros DPVAT","Rua Professor Olímpio Gonzaga, 409 - Unaí - MG",,,,
"Açougue Campeão","Rua Matias Nunes Souza, 260 - Unaí - MG",,,,
"Açougue Divino","Rua Dulce Torres Brochado, 1132 - Unaí - MG",,,,
"Açougue do Felício","Rua Jarbas O Souto, 415 - Unaí - MG",,,,
"Casa de Carnes Tomáz","Rua Lígia Versiane, 06 - Novo Horizonte - Unaí - MG","(38) 3676-5845",,,
"A &amp; C Luxor","Rua Celina Lisboa Frederico, 254 - Centro - Unaí - MG","(38) 3676-3913",,,
"A Pioneira Tecidos","Avenida Governador Valadares, 872 - Centro - Unaí - MG","(38) 3676-5739",,,
"ABR Advogados","Rua Djalma Torres, 251 - Centro - Unaí - MG","(38) 3676-5731",,,
"Casa de Carnes Santo Antônio","Avenida José Luiz Adjuto, 719 - Centro - Unaí - MG","(38) 3676-7742",,,
"Academia Kankusho","Rua Afonso Pena, 71 - Centro - Unaí - MG","(38) 3676-1367",,,
"Sorveteria Moranguinhos","Rua Calixto Martins de Melo, 167 - Centro - Unaí - MG","(38) 3676-5000",,,
"Sorveteria Moranguinhos","Avenida Governador Valadares, 704 - Centro - Unaí - MG","(38) 3676-7433",,,
"Sorveteria Moranguinhos","Rua São José, 169 - Centro - Unaí - MG","(38) 3676-7978",,,
"Acervo Telhas","Avenida Cabo Verde, 196 - Unaí - MG","(38) 3676-7757",,,
"Açougue Bifão Carnes","Rua Juvêncio Correio, 433 - Unaí - MG","(38) 3676-5208",,,
"Açougue Boi na Brasa","Avenida Governador Valadares, 135 - Unaí - MG","(38) 3676-3916",,,
"Açougue Bom Corte","Rua Carambolas, 175 - Unaí - MG","(38) 3677-2939",,,
"Casa de Carnes Martins","Avenida Governador Valadares, 1358 - Centro - Unaí - MG","(38) 3676-1495",,,
"Casa de Carnes Modelo","Avenida Governador Valadares, 361 - Unaí - MG","(38) 3676-1244",,,
"Casa de Carnes Noroeste","Rua Celina Lisboa Frederico, 1699 - Unaí - MG","(38) 3677-4528",,,
"Casa de Carnes União","Avenida Governador Valadares, 453 - Centro - Unaí - MG","(38) 3676-8837",,,
"Açougue do Jarbas","Rua Celina Lisboa Frederico, 959 - Unaí - MG","(38) 3676-1655",,,
"Açougue do Itamar","Rua Celina Lisboa Frederico, 1472 - Unaí - MG","(38) 3676-5960",,,
"Açougue do Luiz","Avenida Otávio Araújo, 370 - Unaí - MG","(38) 3676-7451",,,
"Açougue do Rosivaldo","Rua Júlio Ribeiro Santos, 540 - Unaí - MG","(38) 3676-5493",,,
"Casa de Carnes 2 Irmãos","Avenida José Luiz Adjuto, 1012 - Unaí - MG","(38) 3676-7149",,,
"Casa de Carnes Perez","Rua Serra, 572 - Unaí - MG","(38) 3676-6318",,,
"Casa de Carnes Santa Luzia","Rua Djalma Torres, 1109 - Unaí - MG","(38) 3676-2523",,,
"Açougue e Mercearia Costa","Avenida Pau Brasil, 226 - Unaí - MG","(38) 3676-4980",,,
"Açougue Faria","Rua Roncador, 699 - Centro - Unaí - MG","(38) 3676-5780",,,
"Açougue Nacional","Avenida Governador Valadares, 2299 - Unaí - MG","(38) 3677-2610",,,
"Açougue Papagaio","Rua Prefeito João Costa, 289 - Unaí - MG","(38) 3676-2448",,,
"Açougue Rodrigues","Avenida Castelo Branco, 165 - Centro - Unaí - MG","(38) 3676-7066",,,
"Acougue Sertaneja","Rua Djalma Torres, 1243 - Unaí - MG","(38) 3676-3012",,,
"Açougue Teixeira","Rua Júlio Ribeiro Santos, 540 - Unaí - MG","(38) 3676-5493",,,
"Açougue Terra de Minas","Rua Francisco R. da Silva, 427 - Unaí - MG","(38) 3676-0110",,,
"Açougue União","Rua Matias Nunes Souza, 270 - Unaí - MG","(38) 3676-8145",,,
"Ada Unaí On Line","Rua Djalma Torres, 337 - Centro - Unaí - MG","(38) 3676-3550",,,http://www.adaunai.com.br/
"ACP Corretora de Cereais e Transportes","Rua Antônio Brochado, 174 - Unaí - MG","(38) 3676-3155",,,
"OGP Gráfica e Editora","Avenida Governador Valadares, 748 - Centro - Unaí - MG","(38) 3676-1677",,,
"ADS Contabilidade","Avenida José Luiz Adjuto, 378 - Unaí - MG","(38) 3676-8002",,,
"Unafértil Adubos e Sementes","Rodovia MG 188, 101 - Centro - Unaí - MG","(38) 3676-2441",,https://www.instagram.com/unafertil.unai,
"Advocacia Ariana Maiany","Rua Djalma Torres, 271 - Centro - Unaí - MG","(38) 3676-8093",,,
"Guimarães Vieira Sociedade de Advogados","Rua São José, 53 - Centro - Unaí - MG","(38) 3676-3046",,,
"Advocacia Barbosa e Rodrigues","Rua Djalma Torres, 251 - Centro - Unaí - MG","(38) 3676-5731",,,
"Advocacia Bernardo Campos","Rua Prefeito João Costa, 154 - Unaí - MG","(38) 3676-2469",,,
"Advocacia Bruno Cordeiro Brito e Wellson Louzada","Rua Prefeito João Costa, 283 - Centro - Unaí - MG","(38) 3676-9006",,,
"Advocacia Clevenilton Borges de Oliveira","Rua Djalma Torres, 337, salas 01/02 - Centro - Unaí - MG","(38) 99952-3124","(38) 99952-3124",,
"Maurício Mota Sociedade de Advogados","Rua Djalma Torres, 251 - Centro - Unaí - MG","(38) 3676-6764",,,
"Advocacia Edson de Souza Rodrigues","Rua Prefeito João Costa, 1213 - Unaí - MG","(38) 3676-7210",,,
"Advocacia Dr. Francisco Girafalt","Setor Sudoeste Quadra Mista 5 - Lote 10 Bloco B - Conjunto 16 - Sudoeste - Brasília, DF","(61) 99983-4579","(61) 99983-4579",,
"Advocacia Hexa Consultoria Ambiental","Rua Nossa Senhora do Carmo, 251 - Unaí - MG","(38) 3677-1777",,,
"Advocacia Maurício Miguel da Mota","Rua Djalma Torres, 251 - Centro - Unaí - MG","(38) 3676-6764",,,
"Advocacia Adelaide Camporez","Rua São José, 161 - Centro - Unaí - MG","(38) 3676-2168",,,
"Advocacia Adriana Oliveira Batista","Avenida José Luiz Adjuto, 54 - Centro - Unaí - MG","(38) 3676-9231",,,
"Advocacia Alberto Pereira Coelho","Rua Alba Gonzaga, 630 - Centro - Unaí - MG","(38) 3676-3740",,,
"Advocacia Campos -  Dr. Hilton Campos","Rua São José, 233 - Unaí - MG","(38) 3676-1164",,,
"Advocacia Claudionor Corrêia Neto","Rua Celina Lisboa Frederico, 111 - Unaí - MG","(38) 3676-4119",,,
"Advocacia Dr Marusa","Rua Prefeito João Costa, 251 - Centro - Unaí - MG","(38) 99976-9082","(38) 99976-9082",https://www.instagram.com/advocacia.marusamelo,
"Advocacia Dr Vindilino Martins de Paiva Filho","Rua Celina Lisboa Frederico, 111 - Unaí - MG","(38) 3676-7191",,,
"Advocacia Dra Maria Angélica C. Campos","Rua Celina Lisboa Frederico, 111 - Centro - Unaí - MG","(38) 3676-2797",,,
"Advocacia e Consultoria Jurídica Francisco Cavalcante","Rua Djalma Torres, 251 - Unaí - MG","(38) 3676-3834",,,
"Advocacia Luciano Silva Ribeiro","Rua Aldeia, 24 - Centro - Unaí - MG","(38) 3676-2551",,,
"Advocacia Marcos Coelho e Samuel Lima","Rua João Pinheiro, 410 - Unaí - MG","(38) 3677-3788",,,
"Advocacia Orlando Barbosa Lucas","Rua João Pinheiro, 477 - Unaí - MG","(38) 3676-3314",,,
"Advocacia Rodrigo Rodrigues","Rua Framboesa, 15 - Unaí - MG","(38) 3676-5996",,,
"Advocacia VRA - Vinícius Rodrigo de Araújo","Rua Alba Gonzaga, 360 A - Centro - Unaí - MG","(38) 3676-3657",,,
"Advocacia Dr. Geraldo Donizete Luciano","Rua Nossa Senhora do Carmo, 251 - Centro - Unaí - MG","(38) 3677-1777",,,
"Advocacia Eustáquio Ferreira Júnior","Rua Djalma Torres, 271 - Unaí - MG","(38) 3676-8093",,,
"Advocacia Jaime Luiz Louro","Rua Celina Lisboa Frederico, 64 - Centro - Unaí - MG","(38) 3676-3867",,,
"Advocacia Thales Vinícius Benones Oliveira","Rua Nossa Senhora do Carmo, 251 - Centro - Unaí - MG","(38) 3677-1777",,,
"Advocacia Wellson Louzada","Rua Prefeito João Costa, 283 - Unaí - MG","(38) 3676-9006",,,
"Advocacia Costa e Júnior Advogados Associados","Rua Prefeito João Costa, 253 - Unaí - MG","(38) 3676-7127",,,
"AF - Administração Fazendária de Buritis SEF MG","Rua Nossa Senhora do Carmo, 18 - Unaí - MG","(38) 3676-4193",,,
"AF - Administração Fazendária de Unaí SEF MG","Rua Nossa Senhora do Carmo, 18 - Unaí - MG","(38) 3676-1436",,,
"Clube Turismo","Rua Alba Gonzaga, 52 - Centro - Unaí - MG","(38) 3676-2196",,,
