"Term Name","Term Slug"
academia,academia
Academias,academias
aeróbica,aerobica
Crossfit,crossfit
mma,mma
musculação,musculacao
spinning,spinning
treinamento,treinamento
agricolas,agricolas
agricultura,agricultura
agronegocio,agronegocio
agronomia,agronomia
"engenheiro agronomo",engenheiro-agronomo
drogaria,drogaria
drogarias,drogarias
Farmácias,farmacias
farmacia,farmacia
Homeopatia,homeopatia
Manipulação,manipulacao
aco,aco
"Estruturas Metálicas",estruturas-metalicas
ferragens,ferragens
ferramentas,ferramentas
"Materiais de Construção",materiais-de-construcao
"materiais para construcao",materiais-para-construcao
"material de construcao",material-de-construcao
"material para construcao",material-para-construcao
serralherias,serralherias
fotografia,fotografia
fotografias,fotografias
fotos,fotos
Fábricas,fabricas
indústrias,industrias
biscoito,biscoito
padaria,padaria
padarias,padarias
panificadora,panificadora
panificadoras,panificadoras
"pao de queijo",pao-de-queijo
eucalipto,eucalipto
"eucalipto tratado",eucalipto-tratado
eucaliptos,eucaliptos
madeira,madeira
madeiras,madeiras
madeireira,madeireira
Madeireiras,madeireiras
telha,telha
telhas,telhas
tratado,tratado
"água mineral",agua-mineral
atacado,atacado
atacados,atacados
distribuidora,distribuidora
distribuidoras,distribuidoras
embalagem,embalagem
Embalagens,embalagens
racao,racao
analises,analises
clinicas,clinicas
exames,exames
laboratorio,laboratorio
laboratorios,laboratorios
bares,bares
choperia,choperia
choperias,choperias
churrascaria,churrascaria
churrascarias,churrascarias
pizzaria,pizzaria
Pizzarias,pizzarias
restaurante,restaurante
restaurantes,restaurantes
"auto center",auto-center
"centro automotivo",centro-automotivo
lubrificante,lubrificante
lubrificantes,lubrificantes
oficina,oficina
oficinas,oficinas
"troca de oleo",troca-de-oleo
tinta,tinta
carro,carro
carros,carros
"carros seminovos",carros-seminovos
concessionaria,concessionaria
concessionarias,concessionarias
revenda,revenda
revendas,revendas
veiculo,veiculo
"veiculos multimarcas",veiculos-multimarcas
"venda de carros",venda-de-carros
clinica,clinica
petshop,petshop
petshops,petshops
veterinaria,veterinaria
veterinario,veterinario
veterinarios,veterinarios
