Nome,Status,Endereco,Instagram,Onde Vi,Existe,Similar,Obs,Fone,Whatsapp,Site,Tags,Descricao,Bio do Instagram,Logo,Imagens,Capa
Gláucia Floss Confeitaria,Novo,,https://www.instagram.com/flossglaucia/,ANUNCIA UNAI,Não,,,,,,,,,,,
MJ Queijos Unaí,Novo,,https://www.instagram.com/mjqueijos/,ANUNCIA UNAI,Não,,,,,,,,,,,
Héstia Cross Unaí,Inauguração,,https://www.instagram.com/mjqueijos/,INSTAGRAM PATROCINADO,Não,,Vai ser Inaugurado,,,,,,,,,
Havaianas Unaí,Novo,"Rua Djalma Tôrres, 22 - Centro",https://www.instagram.com/havaianasunai/,ANUNCIA UNAI,Não,,,,,,,,,,,
Fábrica De Biscoitos ® Allan Christian,Publi,"Rua Roncador, 641 - Centro",https://www.instagram.com/fabricadebiscoitos_/,ANUNCIA UNAI,Não,,Atualizar,,,,,,,,,
Combate Centro Automotivo ,Novo,"Rua B, 214 - Capim Branco II",https://www.instagram.com/combatecentroautomotivo/,INSTAGRAM,Não,,,,,,,,,,,
Lottus Studio Auto,Atualizado,"Rua Virgílio Justiniano Ribeiro, 1438 - Barroca",https://www.instagram.com/lottusstudioauto/,INSTAGRAM,Não,,"Atualizado Nome, Instagram e Endereço",,,,,,,,,
Mais Motors,Novo,"Avenida Castelo Branco, 275 - Barroca",https://www.instagram.com/maismotorsunai/,INSTAGRAM PATROCINADO,Não,,,,,,,,,,,
Multigrifes Store,Publi,"Avenida Governador Valadares, 483 - Centro",https://www.instagram.com/multigrifes.store/,UNAI DENUNCIA,Sim,Similar,,,,,,,,,,
Sofá Novo,Novo,,https://www.instagram.com/sofanovodenovo.unaimg/,UNAI DENUNCIA,Não,,,,,,,,,,,
Intellectus,Publi,"Rua Paracatu, 631 - Centro",https://www.instagram.com/instituto_intellectus/,UNAI DENUNCIA,Não,,Atualizar,,,,,,,,,
Amatta,Novo,,https://www.instagram.com/amatta.oficial/,UNAI DENUNCIA,Não,,,,,,,,,,,
MG Toldos e Coberturas,Novo,"Avenida Rio Preto, Chácara 05 - Chácaras Park Rio Preto",https://www.instagram.com/mg_toldosecoberturas/,UNAI DENUNCIA,Não,,,,,,,,,,,
Armazem Fitstore,Novo,"Rua Canabrava, 205 - Centro",https://www.instagram.com/armazemfitstore/,UNAI DENUNCIA,Não,,,,,,,,,,,
Deyvim Multimarcas,Novo,"Avenida Governador Valadares, 1385 - Centro",https://www.instagram.com/deyvimmultimarcas_/,UNAI DENUNCIA,Não,,,,,,,,,,,
Churrasquinho do João ,Novo,"Rua João Mendes Cornélio, 11 - Cachoeira - Praça",https://www.instagram.com/churrasquinhodojoao/,UNAI DENUNCIA,Não,,,,,,,,,,,
