ID,_case27_listing_type,Title,Content,_job_phone,_whatsapp,_fone-2,_job_location,_listing-details,_location,_links,_social-networks,_job_website,_job_email,_job_logo,_job_expires,_job_gallery,_job_cover,_form_heading,_other,Content,Title,"Post Type",Tags,_job_location,_contact-information,_featured,_claimed,"Custom Taxonomy: Qualification"
448,place,"100 Limits Moto Peças",,,,,"Rua Prefeito João Costa, 1081 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"100 Limits Moto Peças",job_listing,motos,"Rua Prefeito João Costa, 1081 - Unaí - MG",,,0,
449,place,"A Estudante Presentes Papelaria",,,,,"Avenida Governador Valadares, 1044 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"A Estudante Presentes Papelaria",job_listing,papelaria|papelarias,"Avenida Governador Valadares, 1044 - Unaí - MG",,,0,
450,place,"A Ideal Tecidos",,,,,"Avenida Governador Valadares, 1041 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"A Ideal Tecidos",job_listing,loja|lojas|roupa|roupas,"Avenida Governador Valadares, 1041 - Centro - Unaí - MG",,,0,
451,place,"A Jovem Lar",,,,,"Avenida Governador Valadares, 458 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"A Jovem Lar",job_listing,eletrodomésticos|móveis,"Avenida Governador Valadares, 458 - Centro - Unaí - MG",,,0,
452,place,"A N Peças em Geral",,,,,"Rua Professor Olímpio Gonzaga, 1 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"A N Peças em Geral",job_listing,parafusos|pecas,"Rua Professor Olímpio Gonzaga, 1 - Unaí - MG",,,0,
453,place,"AABB - Associação Atlética Banco do Brasil",,,,,"Rua Jovino Rodrigues Santana, S/N - Divinéia - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"AABB - Associação Atlética Banco do Brasil",job_listing,clube|clubes|lazer,"Rua Jovino Rodrigues Santana, S/N - Divinéia - Unaí - MG",,,0,
455,place,"Abrigo Frei Anselmo - Lar dos Velhinhos",,,,,"Rua Frei Anselmo, 687 - Unaí - MG",,,a:0:{},,,abrigofreianselmo@hotmail.com,a:0:{},,a:0:{},a:0:{},,,,"Abrigo Frei Anselmo - Lar dos Velhinhos",job_listing,associacao|associações,"Rua Frei Anselmo, 687 - Unaí - MG",,,0,
456,place,"Academia Cia do Corpo",,"(38) 3676-6765",,,"Rua Celina Lisboa Frederico, 26 B - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Academia Cia do Corpo",job_listing,academias|aero|bo|box|condicionamento|físico|ginástica|jump|kangoo-jump|lift|localizada|musculação|spinning|step|tae|training,"Rua Celina Lisboa Frederico, 26 B - Centro - Unaí - MG",,0,0,
457,place,"Espaço Pilates - Academia e Natação","<strong>Espaço Pilates Unaí</strong>

🧘🏼‍♂️ PILATES e YOGA
🏊🏻‍♀️ NATAÇÃO e HIDRO
🧬MOVE FLOW
🩰BALLET e JAZZ
🥋 KARATÊ

<a href=""https://api.whatsapp.com/send?phone=5538999923065&amp;text=Boa+tarde%2C+venho+pelo+Instagram+e+tenho+interesse+pelas+aulas+do+Studio.+Gostaria+de+um+atendimento."" target=""_blank"" rel=""noopener"">Whatsapp</a>","(38) 99992-3065","(38) 99992-3065",,"Rua Luiz Alves, 609 - Unaí - MG",,,"a:1:{i:0;a:2:{s:7:""network"";s:9:""Instagram"";s:3:""url"";s:43:""https://www.instagram.com/espacopilatesunai"";}}",,,,"a:1:{i:0;s:78:""https://guiaunai.com.br/wp-content/uploads/2021/08/empresas-espaco-pilates.jpg"";}",,a:0:{},a:0:{},,,"<strong>Espaço Pilates Unaí</strong>

🧘🏼‍♂️ PILATES e YOGA
🏊🏻‍♀️ NATAÇÃO e HIDRO
🧬MOVE FLOW
🩰BALLET e JAZZ
🥋 KARATÊ

<a href=""https://api.whatsapp.com/send?phone=5538999923065&amp;text=Boa+tarde%2C+venho+pelo+Instagram+e+tenho+interesse+pelas+aulas+do+Studio.+Gostaria+de+um+atendimento."" target=""_blank"" rel=""noopener"">Whatsapp</a>","Espaço Pilates - Academia e Natação",job_listing,academias|balé|capoeira|dança|infantil|jiu-jitsu|mma|natação,"Rua Luiz Alves, 609 - Unaí - MG",,1,1,
458,place,"Academia Fitness Alvim","<strong>Academia Fitness Alvim</strong>
Saúde, bem estar e segurança !
💪🏻 Musculação 🏋🏻‍♀️Localizada 🚴Spinning
👇 WhatsApp👇 Faça agora um orçamento ✍️
<a href=""http://bit.ly/AtendimentoFitnessAlvim"" target=""_blank"" rel=""noopener"">bit.ly/AtendimentoFitnessAlvim</a>","(38) 99949-0406","(38) 99949-0406",,"Rua Antônio Brochado, 179 - Unaí - MG",,,"a:1:{i:0;a:2:{s:7:""network"";s:9:""Instagram"";s:3:""url"";s:48:""https://www.instagram.com/fitness_alvim_academia"";}}",,,,"a:1:{i:0;s:91:""https://guiaunai.com.br/wp-content/uploads/2021/08/empresas-academia-fitness-alvim-logo.jpg"";}",,a:0:{},a:0:{},,,"<strong>Academia Fitness Alvim</strong>
Saúde, bem estar e segurança !
💪🏻 Musculação 🏋🏻‍♀️Localizada 🚴Spinning
👇 WhatsApp👇 Faça agora um orçamento ✍️
<a href=""http://bit.ly/AtendimentoFitnessAlvim"" target=""_blank"" rel=""noopener"">bit.ly/AtendimentoFitnessAlvim</a>","Academia Fitness Alvim",job_listing,academias|aerolocal|kangoo|musculação|personal|spinning|zumba,"Rua Antônio Brochado, 179 - Unaí - MG",,1,1,
459,place,"Minas Shop Hospitalar",,,,,"Rua Nossa Senhora do Carmo, 239 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Minas Shop Hospitalar",job_listing,hospitalares|ortopedico|ortopedicos,"Rua Nossa Senhora do Carmo, 239 - Centro - Unaí - MG",,,0,
